country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Afghanistan,Asia,1952,28.801,8425333,779.4453145,AFG,4
Afghanistan,Asia,1957,30.331999999999997,9240934,820.8530296,AFG,4
Afghanistan,Asia,1962,31.997,10267083,853.1007099999999,AFG,4
Afghanistan,Asia,1967,34.02,11537966,836.1971382,AFG,4
Afghanistan,Asia,1972,36.088,13079460,739.9811057999999,AFG,4
Afghanistan,Asia,1977,38.438,14880372,786.11336,AFG,4
Afghanistan,Asia,1982,39.854,12881816,978.0114388000001,AFG,4
Afghanistan,Asia,1987,40.821999999999996,13867957,852.3959447999999,AFG,4
Afghanistan,Asia,1992,41.674,16317921,649.3413952000001,AFG,4
Afghanistan,Asia,1997,41.763000000000005,22227415,635.341351,AFG,4
Afghanistan,Asia,2002,42.129,25268405,726.7340548,AFG,4
Afghanistan,Asia,2007,43.828,31889923,974.5803384,AFG,4
Albania,Europe,1952,55.23,1282697,1601.056136,ALB,8
Albania,Europe,1957,59.28,1476505,1942.2842440000002,ALB,8
Albania,Europe,1962,64.82,1728137,2312.888958,ALB,8
Albania,Europe,1967,66.22,1984060,2760.196931,ALB,8
Albania,Europe,1972,67.69,2263554,3313.422188,ALB,8
Albania,Europe,1977,68.93,2509048,3533.0039100000004,ALB,8
Albania,Europe,1982,70.42,2780097,3630.880722,ALB,8
Albania,Europe,1987,72.0,3075321,3738.9327350000003,ALB,8
Albania,Europe,1992,71.581,3326498,2497.4379010000002,ALB,8
Albania,Europe,1997,72.95,3428038,3193.054604,ALB,8
Albania,Europe,2002,75.65100000000001,3508512,4604.211737,ALB,8
Albania,Europe,2007,76.423,3600523,5937.029525999999,ALB,8
Algeria,Africa,1952,43.077,9279525,2449.008185,DZA,12
Algeria,Africa,1957,45.685,10270856,3013.976023,DZA,12
Algeria,Africa,1962,48.303000000000004,11000948,2550.81688,DZA,12
Algeria,Africa,1967,51.407,12760499,3246.991771,DZA,12
Algeria,Africa,1972,54.518,14760787,4182.663766,DZA,12
Algeria,Africa,1977,58.013999999999996,17152804,4910.4167560000005,DZA,12
Algeria,Africa,1982,61.368,20033753,5745.160213,DZA,12
Algeria,Africa,1987,65.79899999999999,23254956,5681.358539,DZA,12
Algeria,Africa,1992,67.744,26298373,5023.216647,DZA,12
Algeria,Africa,1997,69.152,29072015,4797.295051,DZA,12
Algeria,Africa,2002,70.994,31287142,5288.040382,DZA,12
Algeria,Africa,2007,72.301,33333216,6223.367465,DZA,12
Angola,Africa,1952,30.015,4232095,3520.610273,AGO,24
Angola,Africa,1957,31.999000000000002,4561361,3827.9404649999997,AGO,24
Angola,Africa,1962,34.0,4826015,4269.276742,AGO,24
Angola,Africa,1967,35.985,5247469,5522.776375,AGO,24
Angola,Africa,1972,37.928000000000004,5894858,5473.288004999999,AGO,24
Angola,Africa,1977,39.483000000000004,6162675,3008.647355,AGO,24
Angola,Africa,1982,39.942,7016384,2756.953672,AGO,24
Angola,Africa,1987,39.906,7874230,2430.208311,AGO,24
Angola,Africa,1992,40.647,8735988,2627.8456850000002,AGO,24
Angola,Africa,1997,40.963,9875024,2277.140884,AGO,24
Angola,Africa,2002,41.003,10866106,2773.287312,AGO,24
Angola,Africa,2007,42.731,12420476,4797.231267,AGO,24
Argentina,Americas,1952,62.485,17876956,5911.315053,ARG,32
Argentina,Americas,1957,64.399,19610538,6856.856212000001,ARG,32
Argentina,Americas,1962,65.142,21283783,7133.166023000001,ARG,32
Argentina,Americas,1967,65.634,22934225,8052.953020999999,ARG,32
Argentina,Americas,1972,67.065,24779799,9443.038526,ARG,32
Argentina,Americas,1977,68.48100000000001,26983828,10079.026740000001,ARG,32
Argentina,Americas,1982,69.942,29341374,8997.897412,ARG,32
Argentina,Americas,1987,70.774,31620918,9139.671389,ARG,32
Argentina,Americas,1992,71.868,33958947,9308.41871,ARG,32
Argentina,Americas,1997,73.275,36203463,10967.28195,ARG,32
Argentina,Americas,2002,74.34,38331121,8797.640716,ARG,32
Argentina,Americas,2007,75.32,40301927,12779.379640000001,ARG,32
Australia,Oceania,1952,69.12,8691212,10039.595640000001,AUS,36
Australia,Oceania,1957,70.33,9712569,10949.64959,AUS,36
Australia,Oceania,1962,70.93,10794968,12217.226859999999,AUS,36
Australia,Oceania,1967,71.1,11872264,14526.12465,AUS,36
Australia,Oceania,1972,71.93,13177000,16788.62948,AUS,36
Australia,Oceania,1977,73.49,14074100,18334.197509999998,AUS,36
Australia,Oceania,1982,74.74,15184200,19477.009280000002,AUS,36
Australia,Oceania,1987,76.32,16257249,21888.889030000002,AUS,36
Australia,Oceania,1992,77.56,17481977,23424.76683,AUS,36
Australia,Oceania,1997,78.83,18565243,26997.936569999998,AUS,36
Australia,Oceania,2002,80.37,19546792,30687.75473,AUS,36
Australia,Oceania,2007,81.235,20434176,34435.367439999995,AUS,36
Austria,Europe,1952,66.8,6927772,6137.076492,AUT,40
Austria,Europe,1957,67.48,6965860,8842.59803,AUT,40
Austria,Europe,1962,69.54,7129864,10750.721109999999,AUT,40
Austria,Europe,1967,70.14,7376998,12834.6024,AUT,40
Austria,Europe,1972,70.63,7544201,16661.6256,AUT,40
Austria,Europe,1977,72.17,7568430,19749.4223,AUT,40
Austria,Europe,1982,73.18,7574613,21597.083619999998,AUT,40
Austria,Europe,1987,74.94,7578903,23687.82607,AUT,40
Austria,Europe,1992,76.04,7914969,27042.01868,AUT,40
Austria,Europe,1997,77.51,8069876,29095.920660000003,AUT,40
Austria,Europe,2002,78.98,8148312,32417.607689999997,AUT,40
Austria,Europe,2007,79.829,8199783,36126.4927,AUT,40
Bahrain,Asia,1952,50.93899999999999,120447,9867.084765000001,BHR,48
Bahrain,Asia,1957,53.832,138655,11635.79945,BHR,48
Bahrain,Asia,1962,56.923,171863,12753.27514,BHR,48
Bahrain,Asia,1967,59.923,202182,14804.6727,BHR,48
Bahrain,Asia,1972,63.3,230800,18268.65839,BHR,48
Bahrain,Asia,1977,65.593,297410,19340.10196,BHR,48
Bahrain,Asia,1982,69.05199999999999,377967,19211.14731,BHR,48
Bahrain,Asia,1987,70.75,454612,18524.02406,BHR,48
Bahrain,Asia,1992,72.601,529491,19035.579169999997,BHR,48
Bahrain,Asia,1997,73.925,598561,20292.01679,BHR,48
Bahrain,Asia,2002,74.795,656397,23403.559269999998,BHR,48
Bahrain,Asia,2007,75.635,708573,29796.048339999998,BHR,48
Bangladesh,Asia,1952,37.484,46886859,684.2441716,BGD,50
Bangladesh,Asia,1957,39.348,51365468,661.6374577,BGD,50
